changing_var,local_exp_idx,value,training_method,avg_test_loss,spearmanr,pearsonr,final_mse
n_samples,0,16,active,0.22594720631837845,0.2889385521411896,0.32761624455451965,0.22641906142234802
n_samples,0,16,standard,0.22333891242742537,-0.1404002457857132,-0.16771236062049866,0.223238006234169
n_samples,1,32,active,0.18496036052703857,0.45317280292510986,0.4762115180492401,0.18561631441116333
n_samples,1,32,standard,0.2131827601790428,0.2431984692811966,0.21817077696323395,0.21326223015785217
n_samples,2,48,active,0.16418497174978255,0.49297580122947693,0.5243737697601318,0.16482901573181152
n_samples,2,48,standard,0.21817593812942504,0.4849642813205719,0.40869012475013733,0.21842145919799805
n_samples,3,64,active,0.1520504629611969,0.5093479752540588,0.5315436720848083,0.15257354080677032
n_samples,3,64,standard,0.1442397975921631,0.5471850633621216,0.5517893433570862,0.1439499408006668
n_samples,4,80,active,0.16081505119800568,0.5087392330169678,0.5264223217964172,0.161528542637825
n_samples,4,80,standard,0.1615921026468277,0.5125377178192139,0.5239872932434082,0.1620180904865265
n_samples,5,96,active,0.14871831014752387,0.570567786693573,0.583185076713562,0.14934419095516205
n_samples,5,96,standard,0.19267022579908372,0.5801157355308533,0.5638347864151001,0.1930314600467682
n_samples,6,112,active,0.15616812497377397,0.569974958896637,0.5812004804611206,0.1563752442598343
n_samples,6,112,standard,0.1372521114349365,0.5467891693115234,0.5722815990447998,0.1379757672548294
n_samples,7,128,active,0.13089642226696013,0.5765109658241272,0.5951881408691406,0.13115429878234863
n_samples,7,128,standard,0.12462949842214584,0.6416860222816467,0.6474860906600952,0.12474329024553299
n_samples,8,144,active,0.13805107921361923,0.5654208064079285,0.5866255164146423,0.13848231732845306
n_samples,8,144,standard,0.15052782624959946,0.5498755574226379,0.5504319667816162,0.15104049444198608
n_samples,9,160,active,0.129307864010334,0.5949291586875916,0.6116693615913391,0.12946808338165283
n_samples,9,160,standard,0.12793560981750488,0.6441233158111572,0.6503117084503174,0.12842011451721191
n_samples,10,176,active,0.13050665095448494,0.6054240465164185,0.6230330467224121,0.13097761571407318
n_samples,10,176,standard,0.11240358218550682,0.669784426689148,0.6772688627243042,0.11265645176172256
n_samples,11,192,active,0.13219804748892783,0.6117597222328186,0.6216375827789307,0.13254199922084808
n_samples,11,192,standard,0.12811018615961076,0.6022594571113586,0.6264922022819519,0.12821725010871887
n_samples,12,208,active,0.13656657680869103,0.6067952513694763,0.6231298446655273,0.1367398053407669
n_samples,12,208,standard,0.1028130929172039,0.7303645014762878,0.7378864884376526,0.1030413806438446
n_samples,13,224,active,0.13848901867866517,0.6200366616249084,0.6334946751594543,0.1383718103170395
n_samples,13,224,standard,0.10757533326745033,0.6965769529342651,0.7008869647979736,0.10789542645215988
n_samples,14,240,active,0.11166686281561851,0.6368168592453003,0.656877875328064,0.11208584159612656
n_samples,14,240,standard,0.12213650614023208,0.6756393313407898,0.6583836078643799,0.12265633791685104
n_samples,15,256,active,0.12265167832374572,0.6500200629234314,0.6600522398948669,0.12286797165870667
n_samples,15,256,standard,0.09559609949588775,0.7325571775436401,0.7325360774993896,0.09586435556411743
