threshold,samples,spearmanr
10,32,0.3663199841976166
10,64,0.5418165326118469
10,128,0.5432103276252747
10,256,0.7420740723609924
12,32,0.4480676054954529
12,64,0.44138196110725403
12,128,0.6944969892501831
12,256,0.7270218133926392
15,32,0.4854525625705719
15,64,0.6466312408447266
15,128,0.6169878840446472
15,256,0.750098466873169
18,32,0.44637051224708557
18,64,0.6022226214408875
18,128,0.661569356918335
18,256,0.6764350533485413
21,32,0.5181512832641602
21,64,0.4921460747718811
21,128,0.5100199580192566
21,256,0.6997289061546326
24,32,0.2889612913131714
24,64,0.48563122749328613
24,128,0.6095420718193054
24,256,0.6717236638069153
