training_type,labels_or_preds,cycle_number,skewness,kurtosis,shapiro_stat,shapiro_p,jb_stat,jb_p
active,labels,1,-0.060357965784813075,-0.8035030452837804,0.9677760532524515,0.8014238248848883,0.5801053720783282,0.7482241455734424
active,preds,1,0.4627700927322957,-1.73830859513763,0.8009225314351014,0.002801483332869496,2.159459862987976,0.3396872520868523
active,labels,10,-0.26684346837607453,-0.8231275896259156,0.9736669737054109,0.003758096181558275,6.510292559300704,0.038575177487168086
active,preds,10,-0.3980185801717972,-1.4773783587841982,0.8613444652997745,5.529655050641823e-11,18.52950525789909,9.4704160150884e-05
active,labels,11,-0.25124510014572293,-0.8215829874854341,0.9750119120675592,0.002940630207756761,6.900423862452805,0.031738909199292224
active,preds,11,-0.23091277258199902,-0.9295678377787056,0.9655785229145464,0.0002447248042271596,7.979576234675021,0.018503634303797086
active,labels,12,-0.26915948627708575,-0.7527271731262184,0.9770269126643907,0.003009692630768335,6.956051645131927,0.030868290401979002
active,preds,12,-0.17103515774862502,-0.9362960265673932,0.970478239921979,0.0004459231155294464,8.03818180176885,0.017969293385014427
active,labels,13,-0.35762029622982017,-0.6568487680336701,0.9742158142142169,0.0007246817565358817,8.258749772258906,0.016092935596205615
active,preds,13,-0.47381700186180614,-0.8374427997106002,0.9456390227340754,4.6903010805546105e-07,13.875831642710228,0.0009702897484250985
active,labels,14,-0.4204968670524455,-0.569659276564844,0.9719224049951998,0.0001974205053591216,9.692720280022021,0.007856923667867152
active,preds,14,-0.3852949236678867,-0.7680924972690262,0.9593817102832848,5.464182347829937e-06,11.113366597113803,0.0038615628325147705
active,labels,15,-0.39591398622052143,-0.5403828248480851,0.9750990973103677,0.0003161800988878128,9.261770260759048,0.009746128688800548
active,preds,15,-0.3595383326023847,-0.8241808443588994,0.9619133220751052,5.3119617159373794e-06,12.028517571790236,0.0024436589679403876
active,labels,16,-0.3480258607277423,-0.5258044623269358,0.9796861255412497,0.0010137339875019734,8.205558211987483,0.01652668211992464
active,preds,16,-0.48895393444647195,-0.6604353213046337,0.9563437598680209,5.630716605449589e-07,14.883087815845187,0.0005863791828582737
active,labels,2,-0.6912625459006615,-0.15009686323425786,0.9483991816509404,0.12978669888803857,2.439840658514992,0.2952536890676234
active,preds,2,-0.7071565380542851,-0.36309197177052743,0.9356671358172608,0.05645775971513376,2.7406210974024963,0.25402805921836535
active,labels,3,-0.16213419834521864,-1.2867765185508702,0.9409301687231071,0.01762441480696697,3.469132262652614,0.17647675141264438
active,preds,3,-0.15315545216137375,-1.4833543035577708,0.9019918712185047,0.0007295386846668264,4.414300256054842,0.11001372722431214
active,labels,4,-0.46425034191785347,-1.0586101431744908,0.9239815570714842,0.0007319854976843011,5.244860942837268,0.07262613240625586
active,preds,4,-0.536723825770238,-1.3927593273818657,0.8385983513378384,7.521008191385094e-07,7.997687629658525,0.018336827405373946
active,labels,5,-0.33197076562316374,-1.075002987548436,0.9451720281962541,0.001842721577210356,5.324550707276624,0.06978924573572337
active,preds,5,-0.3748492954282035,-1.3426270357093757,0.8928659130873953,6.164862541936912e-06,7.7375441658400845,0.02088399750465012
active,labels,6,-0.12935911271283967,-1.153474466056209,0.9550840111234273,0.002359461580937556,5.605884851180747,0.060631396525554826
active,preds,6,0.07601596182550333,-1.3847761659400493,0.928840329930189,6.05027115145695e-05,7.658150832507259,0.02172969726974824
active,labels,7,-0.29182718178568023,-1.057473233658024,0.9535444025756336,0.0006576651960188512,6.829859290597422,0.032878719792653846
active,preds,7,-0.32919409877741845,-1.5057659798037193,0.8711682747322689,2.0167874622416176e-08,12.363798415122771,0.002066499414046285
active,labels,8,-0.23890662976105959,-0.9567175403661996,0.9660751567512266,0.0026955238220120444,6.168717569449651,0.04575936609961146
active,preds,8,-0.4556581642690243,-0.8657266222403011,0.9413969201620551,3.015196599326459e-05,8.444550561722387,0.014665238978263426
active,labels,9,-0.21876654681908475,-0.8696923841669033,0.974461765337697,0.00854752218063833,5.783460735784829,0.055480128472027455
active,preds,9,-0.47313788954154723,-1.1547361925842197,0.8978432407821738,1.6870326490766416e-08,13.284640518845602,0.001303998117096916
